query_type,question,answer
pricing,What is the diagnostic fee?,Our diagnostic fee is $89 which is waived if you proceed with the repair. Emergency after-hours calls have a $149 diagnostic fee.
pricing,How much does a new AC unit cost?,New AC systems range from $4500-$12000 depending on size and efficiency rating. We offer free in-home estimates.
pricing,What are your hourly rates?,We charge a flat diagnostic fee rather than hourly rates. Repairs are quoted upfront before any work begins.
warranty,What warranty do you offer on repairs?,All repairs come with a 1-year parts and labor warranty. Premium repairs include a 2-year warranty.
warranty,What about new system warranties?,New systems include manufacturer warranty (5-10 years on parts) plus our 2-year labor warranty. Extended warranties available.
service_area,What areas do you serve?,We serve the Greater Phoenix Metro area including Phoenix Scottsdale Tempe Mesa Chandler Gilbert and Glendale.
service_area,Do you service Tucson?,Currently we only serve the Phoenix Metro area. We can recommend trusted partners in Tucson.
hours,What are your hours?,We are available 24/7 for emergencies. Regular appointments are Monday-Saturday 7AM-7PM. Sunday appointments available for urgent needs.
hours,Do you offer weekend service?,Yes we offer Saturday appointments at no extra charge. Sunday appointments available for urgent needs with a small additional fee.
financing,Do you offer financing?,Yes we offer 0% financing for 12 months on systems over $3000. Longer terms available with competitive rates through GreenSky.
financing,What credit score is needed for financing?,We work with multiple lenders and can often approve customers with credit scores as low as 580.
maintenance_plan,What is included in your maintenance plan?,Our Comfort Club includes 2 tune-ups per year priority scheduling 15% off repairs no overtime charges and extended warranty benefits. $199/year.
maintenance_plan,Is a maintenance plan worth it?,A well-maintained system lasts 5-7 years longer and runs 15-20% more efficiently. The plan pays for itself in energy savings alone.
brands_serviced,What brands do you service?,We service all major brands including Trane Carrier Lennox Rheem Goodman American Standard Bryant and more.
brands_serviced,What brands do you install?,We are a Trane Comfort Specialist dealer. We also install Carrier Lennox and Rheem systems based on your needs and budget.
